Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
4.581,0.011,2.772589,0,7.468,0.011,4.248495,0,14.502,0.01,4.927254,0,22.307,0.011,4.442651,0,24.626,0.014,3.73767,0,29.762,0.041,1.94591,0,,,
1.712,0.012,2.70805,-0.064539,6.992,0.012,4.234107,-0.014389,15.957,0.01,4.919981,-0.007273,22.405,0.011,4.430817,-0.011834,24.629,0.014,3.713572,-0.024098,31.96,0.046,1.791759,-0.154151,,,
3.722,0.012,2.639057,-0.133531,10.761,0.012,4.219508,-0.028988,16.241,0.01,4.912655,-0.014599,18.168,0.013,4.418841,-0.023811,28.519,0.016,3.688879,-0.04879,30.487,0.049,1.609438,-0.336472,,,
4.303,0.012,2.564949,-0.207639,12.085,0.012,4.204693,-0.043803,16.583,0.01,4.905275,-0.021979,18.665,0.014,4.406719,-0.035932,27.625,0.018,3.663562,-0.074108,30.979,0.054,1.386294,-0.559616,,,
5.733,0.012,2.484907,-0.287682,9.147,0.014,4.189655,-0.058841,17.184,0.01,4.89784,-0.029414,19.886,0.014,4.394449,-0.048202,26.181,0.02,3.637586,-0.100083,32.339,0.06,1.098612,-0.847298,,,
4.965,0.014,2.397895,-0.374693,8.944,0.016,4.174387,-0.074108,14.186,0.011,4.890349,-0.036905,19.2,0.017,4.382027,-0.060625,27.521,0.022,3.610918,-0.126752,29.73,0.13,0.693147,-1.252763,,,
6,0.017,2.302585,-0.470004,11.876,0.016,4.158883,-0.089612,12.838,0.012,4.882802,-0.044452,21.718,0.017,4.369448,-0.073203,25.045,0.023,3.583519,-0.154151,31.948,0.848,0,-1.94591,,,
4.458,0.023,2.197225,-0.575364,8.207,0.017,4.143135,-0.105361,15.351,0.012,4.875197,-0.052056,19.017,0.02,4.356709,-0.085942,24.73,0.024,3.555348,-0.182322,0,0,0,0,,,
2.43,0.024,2.079442,-0.693147,6.59,0.018,4.127134,-0.121361,15.902,0.012,4.867534,-0.059719,19.493,0.02,4.343805,-0.098846,26.335,0.025,3.526361,-0.211309,0,0,0,0,,,
6.082,0.042,1.94591,-0.826679,8.211,0.018,4.110874,-0.137621,14.895,0.013,4.859812,-0.067441,20.743,0.02,4.330733,-0.111918,29.035,0.027,3.496508,-0.241162,0,0,0,0,,,
