Force,Lifetime,p,Lnp,Force_1,Lifetime_1,p_1,Lnp_1,Force_2,Lifetime_2,p_2,Lnp_2,Force_3,Lifetime_3,p_3,Lnp_3,Force_4,Lifetime_4,p_4,Lnp_4,Force_5,Lifetime_5,p_5,Lnp_5
5.021,0.011,2.70805,0,7.076,0.011,3.73767,0,13.655,0.01,4.174387,0,14.703,0.011,4.219508,0,21.93,0.016,3.332205,0,29.277,0.019,2.48490665,0
2.942,0.017,2.639057,-0.068993,7.177,0.014,3.713572,-0.024098,11.468,0.012,4.158883,-0.015504,17.579,0.014,4.204693,-0.014815,19.644,0.019,3.295837,-0.036368,24.291,0.026,2.397895273,-0.087011377
3.032,0.019,2.564949,-0.143101,7.585,0.014,3.688879,-0.04879,11.112,0.013,4.143135,-0.031253,15.32,0.017,4.189655,-0.029853,19.097,0.02,3.258097,-0.074108,26.434,0.027,2.302585093,-0.182321557
5.891,0.019,2.484907,-0.223144,10.275,0.016,3.663562,-0.074108,13.036,0.014,4.127134,-0.047253,16.003,0.017,4.174387,-0.04512,20.256,0.033,3.218876,-0.113329,25.649,0.029,2.197224577,-0.287682072
4.655,0.02,2.397895,-0.310155,6.818,0.027,3.637586,-0.100083,11.923,0.017,4.110874,-0.063513,17.952,0.017,4.158883,-0.060625,19.778,0.036,3.178054,-0.154151,24.547,0.032,2.079441542,-0.405465108
4.099,0.023,2.302585,-0.405465,10.332,0.028,3.610918,-0.126752,12.243,0.019,4.094345,-0.080043,18.796,0.017,4.143135,-0.076373,20.746,0.039,3.135494,-0.19671,27.023,0.113,1.945910149,-0.538996501
5.985,0.023,2.197225,-0.510826,9.751,0.029,3.583519,-0.154151,12.892,0.022,4.077537,-0.09685,14.652,0.019,4.127134,-0.092373,19.695,0.041,3.091042,-0.241162,24.915,0.14,1.791759469,-0.693147181
5.377,0.027,2.079442,-0.628609,9.688,0.035,3.555348,-0.182322,12.659,0.024,4.060443,-0.113944,15.691,0.02,4.110874,-0.108634,20.385,0.053,3.044522,-0.287682,25.22,0.158,1.609437912,-0.875468737
6.351,0.051,1.94591,-0.76214,8.388,0.036,3.526361,-0.211309,12.928,0.024,4.043051,-0.131336,16.868,0.021,4.094345,-0.125163,22.867,0.059,2.995732,-0.336472,24.26,0.295,1.386294361,-1.098612289
3.631,0.09,1.791759,-0.916291,10.273,0.044,3.496508,-0.241162,13.115,0.025,4.025352,-0.149036,15.776,0.024,4.077537,-0.14197,19.979,0.063,2.944439,-0.387766,28.895,0.311,1.098612289,-1.386294361
