Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
7.2,0.003,4.060443,0,8.695,0.005,3.951244,0,10.238,0.008,4.276666,0,14.994,0.004,4.521789,0,16.545,0.006,4.85203,0,22.907,0.005,3.688879,0,,,
3.602,0.008,4.043051,-0.017392,8.952,0.005,3.931826,-0.019418,10.541,0.008,4.26268,-0.013986,15.929,0.004,4.51086,-0.010929,20.078,0.006,4.844187,-0.007843,29.591,0.005,3.663562,-0.025318,,,
4.974,0.008,4.025352,-0.035091,9.52,0.005,3.912023,-0.039221,10.658,0.008,4.248495,-0.028171,13.556,0.006,4.49981,-0.021979,20.753,0.006,4.836282,-0.015748,23.838,0.006,3.637586,-0.051293,,,
4.561,0.01,4.007333,-0.05311,7.9,0.006,3.89182,-0.059423,12.468,0.008,4.234107,-0.04256,14.263,0.006,4.488636,-0.033152,21.178,0.006,4.828314,-0.023717,22.188,0.009,3.610918,-0.077962,,,
4.224,0.013,3.988984,-0.071459,8.472,0.006,3.871201,-0.080043,10.939,0.011,4.219508,-0.057158,13.619,0.007,4.477337,-0.044452,18.929,0.007,4.820282,-0.031749,25.13,0.011,3.583519,-0.105361,,,
6.932,0.013,3.970292,-0.090151,9.139,0.006,3.850148,-0.101096,11.177,0.011,4.204693,-0.071973,14.476,0.007,4.465908,-0.05588,17.605,0.009,4.812184,-0.039846,23.65,0.012,3.555348,-0.133531,,,
5.849,0.016,3.951244,-0.109199,9.393,0.006,3.828641,-0.122602,12.488,0.011,4.189655,-0.087011,15.694,0.009,4.454347,-0.067441,21.223,0.009,4.804021,-0.048009,21.797,0.014,3.526361,-0.162519,,,
6.267,0.016,3.931826,-0.128617,9.613,0.006,3.806662,-0.144581,11.352,0.014,4.174387,-0.102279,13.965,0.011,4.442651,-0.079137,16.929,0.01,4.795791,-0.05624,24.835,0.014,3.496508,-0.192372,,,
5.769,0.017,3.912023,-0.14842,8.127,0.007,3.78419,-0.167054,12.063,0.017,4.158883,-0.117783,13.262,0.013,4.430817,-0.090972,17.865,0.01,4.787492,-0.064539,22.876,0.016,3.465736,-0.223144,,,
4.182,0.019,3.89182,-0.168623,8.342,0.008,3.7612,-0.190044,11.949,0.02,4.143135,-0.133531,13.524,0.016,4.418841,-0.102948,18.838,0.01,4.779123,-0.072907,23.299,0.017,3.433987,-0.254892,,,
