Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
5.021,0.011,2.70805,0,7.076,0.011,4.110874,0,13.655,0.01,4.406719,0,17.952,0.017,3.871201,0,21.93,0.016,2.772589,0,29.277,0.019,2.079442,0,,,
2.942,0.017,2.639057,-0.068993,11.468,0.012,4.094345,-0.016529,16.048,0.01,4.394449,-0.01227,18.796,0.017,3.850148,-0.021053,24.291,0.026,2.70805,-0.064539,26.434,0.027,1.94591,-0.133531,,,
3.032,0.019,2.564949,-0.143101,11.112,0.013,4.077537,-0.033336,14.703,0.011,4.382027,-0.024693,19.644,0.019,3.828641,-0.04256,24.547,0.032,2.639057,-0.133531,25.649,0.029,1.791759,-0.287682,,,
5.891,0.019,2.484907,-0.223144,7.177,0.014,4.060443,-0.050431,13.036,0.014,4.369448,-0.037271,19.097,0.02,3.806662,-0.064539,20.746,0.039,2.564949,-0.207639,27.023,0.113,1.609438,-0.470004,,,
4.655,0.02,2.397895,-0.310155,7.585,0.014,4.043051,-0.067823,11.923,0.017,4.356709,-0.05001,16.868,0.021,3.78419,-0.087011,22.867,0.059,2.484907,-0.287682,25.22,0.158,1.386294,-0.693147,,,
4.099,0.023,2.302585,-0.405465,10.275,0.016,4.025352,-0.085522,15.32,0.017,4.343805,-0.062914,20.256,0.033,3.7612,-0.110001,22.783,0.09,2.397895,-0.374693,28.895,0.311,1.098612,-0.980829,,,
5.985,0.023,2.197225,-0.510826,11.281,0.026,4.007333,-0.103541,16.003,0.017,4.330733,-0.075986,19.778,0.036,3.73767,-0.133531,23.628,0.098,2.302585,-0.470004,27.964,0.364,0.693147,-1.386294,,,
5.377,0.027,2.079442,-0.628609,6.818,0.027,3.988984,-0.12189,12.243,0.019,4.317488,-0.089231,19.695,0.041,3.713572,-0.157629,21.695,0.114,2.197225,-0.575364,26.384,0.726,0,-2.079442,,,
6.351,0.051,1.94591,-0.76214,10.332,0.028,3.970292,-0.140582,14.652,0.019,4.304065,-0.102654,20.385,0.053,3.688879,-0.182322,24.915,0.14,2.079442,-0.693147,0,0,0,0,,,
3.631,0.09,1.791759,-0.916291,9.751,0.029,3.951244,-0.15963,15.691,0.02,4.290459,-0.11626,17.737,0.055,3.663562,-0.207639,23.207,0.152,1.94591,-0.826679,0,0,0,0,,,
