Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
4.974,0.008,3.044522,0,7.2,0.003,4.49981,0,14.994,0.004,4.912655,0,15.929,0.004,5.036953,0,22.907,0.005,3.663562,0,26.604,0.02,0.693147,0,,,
4.561,0.01,2.995732,-0.04879,9.779,0.003,4.488636,-0.011173,13.556,0.006,4.905275,-0.00738,16.545,0.006,5.030438,-0.006515,23.838,0.006,3.637586,-0.025975,26.005,0.444,0,-0.693147,,,
4.224,0.013,2.944439,-0.100083,8.695,0.005,4.477337,-0.022473,14.263,0.006,4.89784,-0.014815,20.078,0.006,5.023881,-0.013072,22.188,0.009,3.610918,-0.052644,0,0,0,0,,,
4.182,0.019,2.890372,-0.154151,8.952,0.005,4.465908,-0.033902,10.789,0.007,4.890349,-0.022306,20.753,0.006,5.01728,-0.019673,25.13,0.011,3.583519,-0.080043,0,0,0,0,,,
2.879,0.023,2.833213,-0.211309,9.52,0.005,4.454347,-0.045462,13.619,0.007,4.882802,-0.029853,21.178,0.006,5.010635,-0.026317,23.65,0.012,3.555348,-0.108214,0,0,0,0,,,
4.908,0.038,2.772589,-0.271934,7.9,0.006,4.442651,-0.057158,14.476,0.007,4.875197,-0.037458,18.929,0.007,5.003946,-0.033006,21.797,0.014,3.526361,-0.137201,0,0,0,0,,,
4.227,0.054,2.70805,-0.336472,8.472,0.006,4.430817,-0.068993,10.238,0.008,4.867534,-0.04512,15.694,0.009,4.997212,-0.03974,24.835,0.014,3.496508,-0.167054,0,0,0,0,,,
3.702,0.06,2.639057,-0.405465,9.139,0.006,4.418841,-0.080969,10.541,0.008,4.859812,-0.052842,17.605,0.009,4.990433,-0.04652,22.876,0.016,3.465736,-0.197826,0,0,0,0,,,
3.261,0.073,2.564949,-0.479573,9.393,0.006,4.406719,-0.09309,10.658,0.008,4.85203,-0.060625,21.223,0.009,4.983607,-0.053346,23.299,0.017,3.433987,-0.229574,0,0,0,0,,,
2.724,0.077,2.484907,-0.559616,9.613,0.006,4.394449,-0.105361,12.468,0.008,4.844187,-0.068468,16.929,0.01,4.976734,-0.060219,21.987,0.019,3.401197,-0.262364,0,0,0,0,,,
3.951,0.101,2.397895,-0.646627,8.127,0.007,4.382027,-0.117783,10.939,0.011,4.836282,-0.076373,17.865,0.01,4.969813,-0.067139,21.482,0.02,3.367296,-0.296266,0,0,0,0,,,
4.099,0.107,2.302585,-0.741937,8.342,0.008,4.369448,-0.130362,11.177,0.011,4.828314,-0.084341,18.838,0.01,4.962845,-0.074108,24.564,0.024,3.332205,-0.331357,0,0,0,0,,,
