TCR-CD3ge lifetime,Force,Lifetime,TCR-CD3ge thermal,Thermal Lifetime,,TCR-CD3de lifetime,Force,Lifetime,TCR-CD3de thermal,Thermal Lifetime,,TCR-CD3mix lifetime,Force,Lifetime,TCR-CD3mix Thermal,Thermal lifetime
,2.942,0.017,,0.054523,,,1.362,0.106,,0.061794,,,1.993,0.147,,0.01
,3.032,0.019,,0.055408,,,1.712,0.012,,0.06191,,,2.088,2.321,,0.013
,3.247,0.417,,0.055618,,,2.43,0.024,,0.073801,,,2.697,0.954,,0.014
,3.631,0.09,,0.059041,,,3.722,0.012,,0.074349,,,2.724,0.077,,0.016
,4.099,0.023,,0.059041,,,4.215,0.72,,0.074349,,,2.879,0.023,,0.017
,4.363,0.01,,0.059041,,,4.303,0.012,,0.074349,,,3.261,0.073,,0.02
,4.655,0.02,,0.059041,,,4.458,0.023,,0.074349,,,3.49,0.926,,0.021
,5.021,0.011,,0.062889,,,4.581,0.011,,0.077491,,,3.602,0.008,,0.024
,5.205,0.186,,0.066082,,,4.965,0.014,,0.080813,,,3.702,0.06,,0.024
,5.377,0.027,,0.066594,,,5.076,0.428,,0.086831,,,3.951,0.101,,0.027
,5.891,0.019,,0.066786,,,5.416,0.368,,0.089219,,,4.099,0.107,,0.027
,5.933,0.184,,0.067385,,,5.553,0.577,,0.089219,,,4.101,0.107,,0.03
,5.985,0.023,,0.070436,,,5.733,0.012,,0.089219,,,4.182,0.019,,0.031
,6.11,0.099,,0.073689,,,5.86,0.01,,0.089219,,,4.224,0.013,,0.032
,6.148,3.759,,0.073801,,,5.907,0.133,,0.089219,,,4.227,0.054,,0.038
,6.351,0.051,,0.073801,,,6,0.017,,0.089219,,,4.306,2.576,,0.038
,6.818,0.027,,0.073801,,,6.082,0.042,,0.092177,,,4.318,2.2,,0.043
,6.9,0.12,,0.073801,,,6.487,0.011,,0.095973,,,4.561,0.01,,0.056
,6.913,0.286,,0.073873,,,6.517,0.157,,0.104089,,,4.564,0.592,,0.059
,7.07,0.289,,0.074085,,,6.59,0.018,,0.104089,,,4.666,0.241,,0.062
,7.076,0.011,,0.074777,,,6.931,0.02,,0.104089,,,4.908,0.038,,0.063
,7.177,0.014,,0.075925,,,6.992,0.012,,0.104089,,,4.974,0.008,,0.063
,7.186,4.321,,0.077425,,,7.353,0.115,,0.104089,,,5.122,0.338,,0.065
,7.258,0.01,,0.078364,,,7.468,0.011,,0.104089,,,5.404,0.752,,0.067
,7.453,9.775,,0.078756,,,7.725,0.808,,0.104089,,,5.43,0.18,,0.069
,7.538,0.068,,0.079673,,,8.029,0.053,,0.104089,,,5.523,0.283,,0.069
,7.574,0.057,,0.08065,,,8.185,0.039,,0.109046,,,5.551,0.048,,0.078
,7.585,0.014,,0.081709,,,8.207,0.017,,0.111396,,,5.701,0.268,,0.083
,7.622,0.306,,0.083223,,,8.211,0.018,,0.116065,,,5.751,0.041,,0.085
,7.727,0.047,,0.083633,,,8.216,0.032,,0.11706,,,5.769,0.017,,0.089
,7.942,0.716,,0.084173,,,8.619,6.013,,0.117294,,,5.789,0.074,,0.091
,7.999,0.235,,0.08424,,,8.648,0.246,,0.118959,,,5.849,0.016,,0.093
,8.119,0.275,,0.084903,,,8.695,0.024,,0.118959,,,5.912,0.026,,0.098
,8.388,0.036,,0.08539,,,8.862,0.024,,0.118959,,,6.161,1.115,,0.098
,8.498,0.231,,0.086678,,,8.935,0.074,,0.118959,,,6.221,0.026,,0.101
,8.524,0.266,,0.086756,,,8.944,0.016,,0.118959,,,6.267,0.016,,0.119
,8.692,0.241,,0.086934,,,9.016,0.021,,0.118959,,,6.276,0.273,,0.129
,9.002,0.127,,0.088353,,,9.123,0.041,,0.118959,,,6.278,2.396,,0.142
,9.21,0.057,,0.088561,,,9.147,0.014,,0.118959,,,6.343,9.411,,0.186
,9.374,1.128,,0.088561,,,9.198,0.252,,0.118959,,,6.433,1.474,,0.202
,9.467,0.165,,0.088561,,,9.294,0.079,,0.118959,,,6.488,0.351,,0.206
,9.536,5.838,,0.088561,,,9.322,0.128,,0.118959,,,6.571,0.04,,0.207
,9.54,1.554,,0.088561,,,9.368,0.397,,0.122677,,,6.744,0.022,,0.208
,9.667,0.09,,0.088561,,,9.397,0.029,,0.124633,,,6.794,0.003,,0.214
,9.688,0.035,,0.088561,,,9.501,0.02,,0.128248,,,6.821,0.062,,0.257
,9.722,0.13,,0.089469,,,9.507,0.159,,0.130946,,,6.84,0.032,,0.274
,9.751,0.029,,0.089865,,,9.575,2.583,,0.133829,,,6.888,12.11,,0.278
,9.799,0.977,,0.094263,,,9.646,1.192,,0.133829,,,6.9,0.338,,0.307
,9.873,0.988,,0.094711,,,9.732,0.136,,0.133829,,,6.932,0.013,,0.438
,9.924,0.459,,0.096377,,,9.869,0.039,,0.133829,,,7.07,0.428,,0.548
,10.019,0.077,,0.097299,,,9.896,0.04,,0.133829,,,7.084,0.028,,0.667
,10.046,0.077,,0.098735,,,10.082,0.312,,0.141381,,,7.094,4.547,,0.778
,10.071,0.052,,0.102956,,,10.089,0.454,,0.147169,,,7.198,0.048,,1.315
,10.075,0.208,,0.103321,,,10.173,0.138,,0.148699,,,7.2,0.003,,1.671
,10.102,0.349,,0.103321,,,10.228,0.497,,0.148699,,,7.222,0.022,,2.278
,10.217,0.102,,0.103321,,,10.232,0.029,,0.148699,,,7.234,0.937,,2.619
,10.273,0.044,,0.103321,,,10.264,0.034,,0.148759,,,7.239,0.036,,2.647
,10.275,0.016,,0.106788,,,10.267,0.067,,0.149382,,,7.247,0.341,,2.881
,10.332,0.028,,0.108089,,,10.414,0.138,,0.151497,,,7.32,0.035,,3.599
,10.411,0.133,,0.108241,,,10.508,0.043,,0.157835,,,7.734,1.988,,
,10.433,0.046,,0.108241,,,10.551,0.027,,0.163569,,,7.77,0.494,,
,10.434,0.094,,0.111007,,,10.611,0.059,,0.163569,,,7.9,0.006,,
,10.549,2.621,,0.118081,,,10.631,0.073,,0.166399,,,7.986,0.092,,
,10.584,0.371,,0.118081,,,10.646,0.629,,0.177122,,,8.009,0.098,,
,10.797,0.887,,0.118081,,,10.674,0.421,,0.178439,,,8.059,0.065,,
,10.804,0.065,,0.118081,,,10.679,0.46,,0.178439,,,8.127,0.007,,
,10.876,0.061,,0.118081,,,10.761,0.012,,0.178439,,,8.214,0.036,,
,10.879,0.053,,0.118081,,,10.89,0.029,,0.183,,,8.342,0.008,,
,11.013,0.086,,0.118081,,,11.069,0.044,,0.188988,,,8.344,0.327,,
,11.07,1.068,,0.118081,,,11.194,0.021,,0.197819,,,8.44,0.214,,
,11.112,0.013,,0.118878,,,11.201,0.022,,0.210827,,,8.472,0.006,,
,11.15,0.124,,0.121454,,,11.22,0.022,,0.249474,,,8.52,3.997,,
,11.197,0.256,,0.121771,,,11.337,0.088,,0.358835,,,8.695,0.005,,
,11.214,1.585,,0.121771,,,11.421,0.019,,0.38166,,,8.7,0.178,,
,11.281,0.026,,0.121771,,,11.431,0.067,,0.442122,,,8.743,0.017,,
,11.385,0.05,,0.132841,,,11.573,0.287,,0.502695,,,8.746,1.496,,
,11.468,0.012,,0.132841,,,11.577,0.355,,,,,8.757,1.291,,
,11.478,0.111,,0.132841,,,11.668,0.092,,,,,8.782,0.715,,
,11.712,0.472,,0.132841,,,11.749,0.049,,,,,8.805,0.088,,
,11.738,0.161,,0.132841,,,11.876,0.016,,,,,8.866,0.324,,
,11.83,0.208,,0.132841,,,11.912,0.051,,,,,8.906,0.32,,
,11.874,1.313,,0.132841,,,11.921,4.8,,,,,8.927,0.079,,
,11.923,0.017,,0.134018,,,12.043,0.025,,,,,8.947,0.269,,
,12.108,0.01,,0.134675,,,12.085,0.012,,,,,8.952,0.005,,
,12.119,0.39,,0.135301,,,12.148,0.863,,,,,8.984,1.942,,
,12.149,0.142,,0.136058,,,12.162,0.022,,,,,9.007,14.166,,
,12.161,0.037,,0.138724,,,12.206,0.168,,,,,9.013,0.052,,
,12.243,0.019,,0.141753,,,12.249,2.742,,,,,9.04,0.19,,
,12.317,0.243,,0.147601,,,12.473,0.196,,,,,9.047,0.133,,
,12.381,0.131,,0.147601,,,12.499,0.073,,,,,9.053,0.033,,
,12.409,0.22,,0.147601,,,12.508,0.027,,,,,9.137,5.044,,
,12.43,2.041,,0.147601,,,12.604,0.356,,,,,9.139,0.006,,
,12.457,1.535,,0.147601,,,12.629,0.248,,,,,9.184,0.925,,
,12.502,0.095,,0.147601,,,12.738,0.028,,,,,9.19,1.327,,
,12.577,0.573,,0.147601,,,12.787,1.065,,,,,9.2,0.663,,
,12.659,0.024,,0.148831,,,12.838,0.012,,,,,9.216,0.145,,
,12.767,0.071,,0.162362,,,12.848,0.066,,,,,9.289,0.899,,
,12.884,0.026,,0.162362,,,12.969,0.139,,,,,9.387,8.84,,
,12.892,0.022,,0.162362,,,12.973,0.117,,,,,9.393,0.006,,
,12.928,0.024,,0.162362,,,12.985,0.165,,,,,9.41,0.124,,
,12.97,0.038,,0.162362,,,12.99,0.147,,,,,9.435,0.151,,
,13.036,0.014,,0.162362,,,13.002,0.017,,,,,9.441,0.619,,
,13.115,0.025,,0.162362,,,13.065,0.021,,,,,9.468,0.181,,
,13.145,0.921,,0.177122,,,13.102,0.155,,,,,9.52,0.005,,
,13.2,0.048,,0.177122,,,13.122,0.172,,,,,9.566,2.595,,
,13.357,0.061,,0.177122,,,13.13,0.476,,,,,9.574,0.055,,
,13.361,0.532,,0.189422,,,13.153,0.05,,,,,9.59,2.765,,
,13.409,0.113,,0.189422,,,13.178,0.107,,,,,9.613,0.006,,
,13.439,0.029,,0.191882,,,13.315,0.02,,,,,9.616,0.127,,
,13.557,0.131,,0.191882,,,13.34,6.634,,,,,9.652,0.078,,
,13.655,0.01,,0.191882,,,13.38,0.28,,,,,9.779,0.003,,
,13.713,0.042,,0.191882,,,13.384,0.247,,,,,9.817,0.716,,
,13.811,0.319,,0.191882,,,13.387,0.01,,,,,9.88,0.28,,
,13.822,0.412,,0.191882,,,13.408,0.128,,,,,10.017,0.736,,
,13.858,0.08,,0.191882,,,13.436,0.048,,,,,10.063,0.861,,
,13.953,0.12,,0.206642,,,13.542,0.167,,,,,10.136,0.041,,
,13.968,0.395,,0.206642,,,13.555,0.129,,,,,10.168,0.032,,
,13.977,0.14,,0.206642,,,13.645,0.056,,,,,10.231,0.065,,
,13.989,0.39,,0.206642,,,13.683,0.228,,,,,10.238,0.008,,
,14.05,0.069,,0.206642,,,13.855,0.027,,,,,10.291,0.058,,
,14.079,13.137,,0.210835,,,13.858,0.06,,,,,10.299,0.507,,
,14.127,0.198,,0.216482,,,13.921,0.315,,,,,10.312,1.075,,
,14.163,0.108,,0.221402,,,13.967,0.484,,,,,10.432,2.061,,
,14.196,0.026,,0.221402,,,13.999,0.219,,,,,10.445,0.269,,
,14.248,0.678,,0.230012,,,14.041,0.651,,,,,10.473,0.05,,
,14.323,0.892,,0.236162,,,14.066,0.114,,,,,10.541,0.008,,
,14.38,0.038,,0.243542,,,14.163,9.14,,,,,10.658,0.008,,
,14.414,0.179,,0.243542,,,14.186,0.011,,,,,10.662,0.342,,
,14.439,0.066,,0.265683,,,14.205,0.044,,,,,10.669,0.27,,
,14.456,0.446,,0.270603,,,14.288,0.027,,,,,10.789,0.007,,
,14.465,0.096,,0.280443,,,14.291,0.038,,,,,10.796,0.023,,
,14.495,0.071,,0.295203,,,14.32,0.038,,,,,10.939,0.011,,
,14.575,0.03,,0.309963,,,14.352,0.022,,,,,10.954,0.031,,
,14.62,0.093,,0.309963,,,14.41,0.325,,,,,11.035,0.237,,
,14.652,0.019,,0.311193,,,14.432,0.4,,,,,11.061,0.413,,
,14.671,0.025,,0.442804,,,14.447,0.712,,,,,11.109,0.027,,
,14.677,0.219,,,,,14.451,0.101,,,,,11.115,12.717,,
,14.703,0.011,,,,,14.502,0.01,,,,,11.142,0.094,,
,14.727,0.062,,,,,14.517,0.353,,,,,11.164,0.346,,
,14.736,0.682,,,,,14.538,0.285,,,,,11.177,0.011,,
,14.802,1.314,,,,,14.553,0.031,,,,,11.352,0.014,,
,15.089,0.655,,,,,14.652,0.257,,,,,11.474,0.023,,
,15.263,0.238,,,,,14.659,0.172,,,,,11.546,0.302,,
,15.32,0.017,,,,,14.667,0.055,,,,,11.575,0.362,,
,15.344,0.277,,,,,14.708,1.328,,,,,11.61,0.299,,
,15.399,0.267,,,,,14.819,0.172,,,,,11.623,0.078,,
,15.434,0.033,,,,,14.829,14.665,,,,,11.663,0.103,,
,15.455,0.094,,,,,14.884,0.1,,,,,11.676,0.152,,
,15.632,0.061,,,,,14.89,1.125,,,,,11.736,0.664,,
,15.691,0.02,,,,,14.895,0.013,,,,,11.739,0.211,,
,15.702,0.206,,,,,15.044,0.127,,,,,11.79,0.309,,
,15.735,0.129,,,,,15.126,0.06,,,,,11.801,0.046,,
,15.776,0.024,,,,,15.179,0.078,,,,,11.874,0.562,,
,15.85,0.632,,,,,15.181,2.553,,,,,11.916,0.166,,
,15.85,0.074,,,,,15.193,0.524,,,,,11.949,0.02,,
,15.975,0.132,,,,,15.198,0.087,,,,,11.968,0.846,,
,16.003,0.017,,,,,15.229,0.592,,,,,12.011,0.459,,
