t,value,std
0,0.501544960882,0.0010239294823860818
1,0.4935710588463874,0.0017415207396021468
2,0.48886799307698764,0.0029314163049928136
3,0.4906157919349261,0.004876277778382688
4,0.5068078739600617,0.008136588609544615
5,0.5538304047237426,0.013685729260480178
6,0.643203066630158,0.023185065838872452
7,0.7504414036223183,0.0394277007691428
8,0.8584515099054256,0.06597392985789285
9,0.9859209482771659,0.10108859742218636
10,1.1336143165655082,0.13366574110906837
11,1.2732338064379711,0.15669835222468795
12,1.3783612356174562,0.1723530308061829
13,1.4413504562880575,0.18360483483570703
14,1.4679266124563544,0.19130703055224305
15,1.467578829558553,0.195746101509352
16,1.4483132238208953,0.19742877212842522
17,1.415211426857578,0.1969855241335113
18,1.3706897963818552,0.19499465358580137
19,1.3152994682679182,0.19191944053567378
20,1.2487070819976256,0.18809723362406405
21,1.170747398128427,0.18371105775948007
22,1.0823374797790803,0.17871749402714487
23,0.9859194678487107,0.17275875157793774
24,0.8852480343850231,0.165143988329181
25,0.7847089137291339,0.15500776484884643
26,0.6885559476016081,0.14168785066120282
27,0.6003065300034979,0.12520217956099994
28,0.5223262773440343,0.10653527584838396
29,0.4556169585780022,0.0874413871752362
30,0.39988815337734385,0.06976458583340824
31,0.35393533661694265,0.054708693435169514
32,0.31616668148006355,0.0425832828034306
33,0.2850287440695664,0.03308879037628988
34,0.25920375069029933,0.025735134052977116
35,0.23763429786423818,0.0200716293266768
