t,value,std
0,0.08232398264081865,0.0002109456672126322
1,0.08316756929327462,0.0009782724169952403
2,0.08600356537397405,0.002802266950814421
3,0.0954081995771482,0.008698477662981638
4,0.1250318788608697,0.027625698467534775
5,0.20374804778235817,0.07016315688644162
6,0.33080274735143456,0.09624446477973647
7,0.43513803626869696,0.09392363688564796
8,0.49345310836871287,0.09791363114969368
9,0.5234339745399812,0.10523710595812705
10,0.5389210304164,0.11159838821494117
11,0.5458767754357391,0.11642195084711031
12,0.5466432079255725,0.11968582236988753
13,0.5423796481296238,0.12137380975410987
14,0.5339388206871859,0.1214996597277844
15,0.5220672523223745,0.12013323948949384
16,0.507386196509092,0.1173880775275848
17,0.49035300770348683,0.11339643636576605
18,0.4712729653696621,0.1082945550308958
19,0.4503581884353056,0.10222541123614293
20,0.4277985260856459,0.09535170367857437
21,0.4038134627416191,0.08786633074610199
22,0.37867503936821134,0.079992152337961
23,0.3527078266824226,0.07197056392417092
24,0.3262756911568775,0.06404316737732547
25,0.299762264127471,0.0564316435200192
26,0.27354922032652945,0.04931994036526978
27,0.2479952730201041,0.04284163067156114
28,0.22341823541610173,0.03707404610739711
29,0.20008184004562188,0.03203953997995868
30,0.17818815567588578,0.02771306417598449
31,0.15787556478119272,0.024034286003886355
32,0.1392215477981889,0.0209218126366183
33,0.12224907391276275,0.018286887035118434
34,0.10693524223506597,0.016044337628267076
35,0.09322090138856819,0.014119564969752089
