t,value,std
0,0.11583930365229303,0.007621773302353482
1,0.12292594138660488,0.008881225195363458
2,0.1311678049835704,0.010379377853063159
3,0.14075131059419227,0.012162342579767624
4,0.15189154337213873,0.014285665982068716
5,0.1648355905258886,0.016815653234740338
6,0.1798653063959801,0.01983056769915649
7,0.1972981728688283,0.023421081662343697
8,0.21748301588044416,0.027688398340979303
9,0.24078393692836542,0.03273710377871209
10,0.267542055961672,0.038659196314759496
11,0.2980040123615897,0.04550782908477629
12,0.33221246276917915,0.05326496363069869
13,0.3698671703149074,0.06181430679074084
14,0.4101804338503884,0.07093537390178457
15,0.45176040830298436,0.08033318940429328
16,0.49255689438278083,0.0897107857730668
17,0.5298989490253985,0.098877885409622
18,0.5606475772435178,0.10786307914947355
19,0.5814823478916173,0.1169507096978576
20,0.5893331251722974,0.12651752759607185
21,0.5819440162245951,0.13658965927137898
22,0.5584999495600665,0.14627924237803386
23,0.5201534017775861,0.15355754087975929
24,0.470195140838329,0.1557911249406449
25,0.4136129884244751,0.15097652577289844
26,0.3559917332465399,0.13898317439305533
27,0.3021156828086994,0.12185194667197484
28,0.2549535228751367,0.1027584056672062
29,0.21552351281427728,0.08443237616262005
30,0.18349170263478662,0.06831708921336825
31,0.15791136938895395,0.05478685520114582
32,0.1376982964908991,0.04370558215615876
33,0.1218364907218413,0.03477304564829544
34,0.10944654436518084,0.027660361943325378
35,0.09979826458291657,0.022060696191787958
