Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime
13.975,0.026,3.332205,0,17.83,0.031,4.330733,0,21.366,0.018,4.465908,0,26.845,0.011,3.970292,0,34.867,0.008,3.496508,0
13.589,0.04,3.295837,-0.036368,20.097,0.033,4.317488,-0.013245,21.744,0.018,4.454347,-0.011561,25.387,0.014,3.951244,-0.019048,33.498,0.01,3.465736,-0.030772
11.946,0.042,3.258097,-0.074108,17.126,0.034,4.304065,-0.026668,23.676,0.02,4.442651,-0.023257,28.583,0.014,3.931826,-0.038466,35.139,0.012,3.433987,-0.06252
12.582,0.047,3.218876,-0.113329,19.602,0.035,4.290459,-0.040274,24.679,0.02,4.430817,-0.035091,26.509,0.016,3.912023,-0.058269,39.399,0.018,3.401197,-0.09531
13.452,0.063,3.178054,-0.154151,15.781,0.036,4.276666,-0.054067,21.178,0.021,4.418841,-0.047068,28.792,0.029,3.89182,-0.078472,36.781,0.021,3.367296,-0.129212
10.117,0.074,3.135494,-0.19671,16.498,0.036,4.26268,-0.068053,21.61,0.022,4.406719,-0.059189,28.559,0.03,3.871201,-0.099091,40.144,0.021,3.332205,-0.164303
11.739,0.098,3.091042,-0.241162,18.874,0.036,4.248495,-0.082238,20.997,0.024,4.394449,-0.071459,25.649,0.032,3.850148,-0.120144,34.912,0.026,3.295837,-0.200671
13.678,0.112,3.044522,-0.287682,19.25,0.039,4.234107,-0.096627,23.276,0.024,4.382027,-0.083881,26.487,0.032,3.828641,-0.141651,32.281,0.03,3.258097,-0.238411
9.065,0.147,2.995732,-0.336472,17.188,0.04,4.219508,-0.111226,21.358,0.027,4.369448,-0.09646,28.046,0.032,3.806662,-0.163629,35.553,0.035,3.218876,-0.277632
12.895,0.151,2.944439,-0.387766,14.221,0.051,4.204693,-0.126041,24.121,0.027,4.356709,-0.109199,25.78,0.038,3.78419,-0.186102,30.885,0.039,3.178054,-0.318454
10.118,0.167,2.890372,-0.441833,18.754,0.059,4.189655,-0.141079,22.298,0.03,4.343805,-0.122103,25.517,0.04,3.7612,-0.209092,30.757,0.044,3.135494,-0.361013
13.229,0.168,2.833213,-0.498991,15.949,0.061,4.174387,-0.156346,21.438,0.031,4.330733,-0.135175,26.169,0.043,3.73767,-0.232622,31.677,0.059,3.091042,-0.405465
9.509,0.221,2.772589,-0.559616,16.135,0.074,4.158883,-0.17185,23.948,0.036,4.317488,-0.14842,29.211,0.044,3.713572,-0.25672,31.457,0.071,3.044522,-0.451985
12.973,0.279,2.70805,-0.624154,20.251,0.08,4.143135,-0.187599,24.992,0.038,4.304065,-0.161843,26.005,0.05,3.688879,-0.281412,35.678,0.073,2.995732,-0.500775
