Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime
6.478,0.008,2.639057,0,20.849,0.02,3.496508,0,25.265,0.007,3.688879,0,29.463,0.008,3.258097,0,36.476,0.008,2.833213,0
7.412,0.009,2.564949,-0.074108,19.904,0.023,3.465736,-0.030772,26.147,0.008,3.663562,-0.025318,31.211,0.016,3.218876,-0.039221,35.139,0.011,2.772589,-0.060625
8.065,0.011,2.484907,-0.154151,20.95,0.024,3.433987,-0.06252,26.219,0.012,3.637586,-0.051293,33.332,0.021,3.178054,-0.080043,36.556,0.017,2.70805,-0.125163
14.388,0.017,2.397895,-0.241162,19.991,0.025,3.401197,-0.09531,28.161,0.013,3.610918,-0.077962,30.514,0.023,3.135494,-0.122602,40.034,0.019,2.639057,-0.194156
14.128,0.059,2.302585,-0.336472,20.101,0.025,3.367296,-0.129212,24.116,0.015,3.583519,-0.105361,29.115,0.024,3.091042,-0.167054,35.251,0.023,2.564949,-0.268264
13.6,0.116,2.197225,-0.441833,16.783,0.036,3.332205,-0.164303,22.646,0.016,3.555348,-0.133531,32.414,0.029,3.044522,-0.213574,41.729,0.032,2.484907,-0.348307
15.505,0.156,2.079442,-0.559616,16.82,0.036,3.295837,-0.200671,22.646,0.016,3.526361,-0.162519,32.739,0.041,2.995732,-0.262364,36.05,0.036,2.397895,-0.435318
15.289,0.37,1.94591,-0.693147,18.696,0.048,3.258097,-0.238411,24.208,0.019,3.496508,-0.192372,30.096,0.045,2.944439,-0.313658,34.265,0.052,2.302585,-0.530628
11.965,0.431,1.791759,-0.847298,21.182,0.057,3.218876,-0.277632,24.208,0.019,3.465736,-0.223144,32.506,0.049,2.890372,-0.367725,36.939,0.061,2.197225,-0.635989
13.53,0.444,1.609438,-1.029619,21.166,0.072,3.178054,-0.318454,27.509,0.02,3.433987,-0.254892,32.506,0.049,2.833213,-0.424883,37.197,0.077,2.079442,-0.753772
10.734,0.598,1.386294,-1.252763,19.652,0.079,3.135494,-0.361013,25.246,0.027,3.401197,-0.287682,30.608,0.051,2.772589,-0.485508,37.744,0.095,1.94591,-0.887303
10.852,0.694,1.098612,-1.540445,20.065,0.103,3.091042,-0.405465,25.724,0.032,3.367296,-0.321584,31.677,0.052,2.70805,-0.550046,37.169,0.099,1.791759,-1.041454
10.852,0.694,0.693147,-1.94591,21.587,0.116,3.044522,-0.451985,27.499,0.033,3.332205,-0.356675,30.194,0.067,2.639057,-0.619039,37.959,0.12,1.609438,-1.223775
15.22,0.781,0,-2.639057,19.718,0.117,2.995732,-0.500775,21.609,0.037,3.295837,-0.393043,30.899,0.103,2.564949,-0.693147,37.65,0.128,1.386294,-1.446919
0,0,0,0,20.811,0.153,2.944439,-0.552069,21.609,0.037,3.258097,-0.430783,32.46,0.121,2.484907,-0.77319,37.239,0.156,1.098612,-1.734601
0,0,0,0,20.637,0.176,2.890372,-0.606136,26.574,0.043,3.218876,-0.470004,31.105,0.123,2.397895,-0.860201,40.383,0.169,0.693147,-2.140066
0,0,0,0,20.514,0.183,2.833213,-0.663294,23.867,0.048,3.178054,-0.510826,33.234,0.123,2.302585,-0.955511,35.226,0.522,0,-2.833213
0,0,0,0,16.782,0.327,2.772589,-0.723919,25.24,0.051,3.135494,-0.553385,32.36,0.144,2.197225,-1.060872,0,0,0,0
0,0,0,0,18.659,0.334,2.70805,-0.788457,25.279,0.053,3.091042,-0.597837,30.098,0.155,2.079442,-1.178655,0,0,0,0
0,0,0,0,21.171,0.423,2.639057,-0.85745,26.704,0.057,3.044522,-0.644357,30.098,0.155,1.94591,-1.312186,0,0,0,0
0,0,0,0,18.646,0.452,2.564949,-0.931558,22.474,0.061,2.995732,-0.693147,32.364,0.168,1.791759,-1.466337,0,0,0,0
0,0,0,0,15.93,0.605,2.484907,-1.011601,21.696,0.064,2.944439,-0.74444,31.089,0.179,1.609438,-1.648659,0,0,0,0
0,0,0,0,21.488,0.629,2.397895,-1.098612,22.847,0.068,2.890372,-0.798508,31.089,0.179,1.386294,-1.871802,0,0,0,0
0,0,0,0,18.854,0.785,2.302585,-1.193922,27.941,0.077,2.833213,-0.855666,31.466,0.204,1.098612,-2.159484,0,0,0,0
0,0,0,0,17.984,0.831,2.197225,-1.299283,25.541,0.088,2.772589,-0.916291,30.454,0.24,0.693147,-2.564949,0,0,0,0
0,0,0,0,16.234,0.833,2.079442,-1.417066,25.32,0.111,2.70805,-0.980829,29.079,0.262,0,-3.258097,0,0,0,0
0,0,0,0,17.375,0.952,1.94591,-1.550597,25.369,0.117,2.639057,-1.049822,0,0,0,0,0,0,0,0
0,0,0,0,16.359,1.078,1.791759,-1.704748,25.567,0.124,2.564949,-1.12393,0,0,0,0,0,0,0,0
0,0,0,0,16.359,1.078,1.609438,-1.88707,25.426,0.127,2.484907,-1.203973,0,0,0,0,0,0,0,0
0,0,0,0,16.321,1.088,1.386294,-2.110213,26.345,0.183,2.397895,-1.290984,0,0,0,0,0,0,0,0
0,0,0,0,18.078,1.237,1.098612,-2.397895,24.772,0.234,2.302585,-1.386294,0,0,0,0,0,0,0,0
0,0,0,0,19.636,1.754,0.693147,-2.80336,24.772,0.234,2.197225,-1.491655,0,0,0,0,0,0,0,0
0,0,0,0,19.636,1.754,0,-3.496508,25.442,0.26,2.079442,-1.609438,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,23.739,0.278,1.94591,-1.742969,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24.011,0.446,1.791759,-1.89712,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,23.451,0.511,1.609438,-2.079442,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,26.479,0.523,1.386294,-2.302585,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24,0.607,1.098612,-2.590267,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,25.572,0.65,0.693147,-2.995732,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,27.484,0.67,0,-3.688879,0,0,0,0,0,0,0,0
