Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
5.353,0.006,3.931826,0,9.253,0.004,5.068904,0,11.868,0.006,5.17615,0,20.244,0.003,5.01728,0,24.564,0.009,3.951244,0,28.578,0.016,2.079442,0
4.515,0.01,3.912023,-0.019803,10.38,0.004,5.062595,-0.006309,12.29,0.006,5.170484,-0.005666,18.572,0.005,5.010635,-0.006645,23.166,0.01,3.931826,-0.019418,29.341,0.023,1.94591,-0.133531
5.46,0.01,3.89182,-0.040005,10.428,0.004,5.056246,-0.012658,12.449,0.006,5.164786,-0.011364,16.191,0.006,5.003946,-0.013334,21.538,0.011,3.912023,-0.039221,29.815,0.038,1.791759,-0.287682
5.606,0.011,3.871201,-0.060625,10.431,0.004,5.049856,-0.019048,12.646,0.006,5.159055,-0.017094,16.717,0.006,4.997212,-0.020068,25.207,0.011,3.89182,-0.059423,28.374,0.046,1.609438,-0.470004
4.902,0.012,3.850148,-0.081678,11.398,0.004,5.043425,-0.025479,13.295,0.006,5.153292,-0.022858,17.806,0.006,4.990433,-0.026847,25.459,0.011,3.871201,-0.080043,29.278,0.049,1.386294,-0.693147
3.649,0.014,3.828641,-0.103184,7.376,0.005,5.036953,-0.031952,13.671,0.007,5.147494,-0.028655,18.034,0.006,4.983607,-0.033673,22.019,0.012,3.850148,-0.101096,30.886,0.055,1.098612,-0.980829
6.431,0.014,3.806662,-0.125163,7.16,0.006,5.030438,-0.038466,11.799,0.009,5.141664,-0.034486,18.614,0.006,4.976734,-0.040546,25.82,0.012,3.828641,-0.122602,28.481,0.085,0.693147,-1.386294
6.531,0.016,3.78419,-0.147636,9.678,0.006,5.023881,-0.045024,11.943,0.009,5.135798,-0.040351,21.253,0.006,4.969813,-0.047467,27.841,0.012,3.806662,-0.144581,28.811,0.119,0,-2.079442
6.587,0.016,3.7612,-0.170626,9.779,0.007,5.01728,-0.051624,12.949,0.009,5.129899,-0.046251,16.43,0.007,4.962845,-0.054435,21.664,0.016,3.78419,-0.167054,0,0,0,0
4.338,0.017,3.73767,-0.194156,10.349,0.007,5.010635,-0.058269,13.01,0.009,5.123964,-0.052186,16.443,0.007,4.955827,-0.061453,22.828,0.016,3.7612,-0.190044,0,0,0,0
6.483,0.017,3.713572,-0.218254,10.971,0.007,5.003946,-0.064958,14.29,0.009,5.117994,-0.058156,16.624,0.008,4.94876,-0.06852,22.849,0.017,3.73767,-0.213574,0,0,0,0
6.735,0.017,3.688879,-0.242946,10.503,0.008,4.997212,-0.071692,12.097,0.01,5.111988,-0.064162,20.866,0.008,4.941642,-0.075637,22.374,0.019,3.713572,-0.237672,0,0,0,0
6.482,0.018,3.663562,-0.268264,10.835,0.008,4.990433,-0.078472,13.34,0.01,5.105945,-0.070204,17.178,0.009,4.934474,-0.082806,23.769,0.019,3.688879,-0.262364,0,0,0,0
6.824,0.018,3.637586,-0.294239,11.409,0.008,4.983607,-0.085298,11.832,0.012,5.099866,-0.076283,17.296,0.009,4.927254,-0.090026,27.611,0.022,3.663562,-0.287682,0,0,0,0
6.451,0.019,3.610918,-0.320908,11.563,0.008,4.976734,-0.09217,12.161,0.012,5.09375,-0.0824,18.698,0.009,4.919981,-0.097299,21.383,0.023,3.637586,-0.313658,0,0,0,0
6.508,0.019,3.583519,-0.348307,9.093,0.009,4.969813,-0.099091,12.991,0.012,5.087596,-0.088553,18.973,0.009,4.912655,-0.104625,24.101,0.026,3.610918,-0.340326,0,0,0,0
6.655,0.021,3.555348,-0.376478,9.507,0.009,4.962845,-0.10606,14.928,0.012,5.081404,-0.094745,19.595,0.009,4.905275,-0.112005,25.131,0.026,3.583519,-0.367725,0,0,0,0
3.169,0.023,3.526361,-0.405465,9.649,0.009,4.955827,-0.113077,13.435,0.014,5.075174,-0.100976,20.466,0.009,4.89784,-0.11944,25.533,0.028,3.555348,-0.395896,0,0,0,0
5.819,0.025,3.496508,-0.435318,10.689,0.009,4.94876,-0.120144,14.129,0.014,5.068904,-0.107246,19.623,0.01,4.890349,-0.126931,23.608,0.03,3.526361,-0.424883,0,0,0,0
5.753,0.026,3.465736,-0.46609,10.819,0.009,4.941642,-0.127262,14.574,0.016,5.062595,-0.113555,17.188,0.011,4.882802,-0.134478,24.815,0.03,3.496508,-0.454736,0,0,0,0
6.102,0.027,3.433987,-0.497838,11.038,0.009,4.934474,-0.13443,11.825,0.017,5.056246,-0.119904,18.146,0.011,4.875197,-0.142083,22.416,0.031,3.465736,-0.485508,0,0,0,0
3.285,0.029,3.401197,-0.530628,10.908,0.01,4.927254,-0.141651,12.791,0.017,5.049856,-0.126294,18.315,0.011,4.867534,-0.149745,21.631,0.033,3.433987,-0.517257,0,0,0,0
4.062,0.029,3.367296,-0.56453,9.246,0.011,4.919981,-0.148923,13.519,0.017,5.043425,-0.132725,21.194,0.011,4.859812,-0.157467,21.471,0.037,3.401197,-0.550046,0,0,0,0
3.754,0.03,3.332205,-0.599621,9.62,0.011,4.912655,-0.156249,15.493,0.017,5.036953,-0.139197,17.514,0.012,4.85203,-0.16525,23.537,0.037,3.367296,-0.583948,0,0,0,0
6.39,0.031,3.295837,-0.635989,10.438,0.011,4.905275,-0.163629,12.617,0.018,5.030438,-0.145712,17.869,0.012,4.844187,-0.173093,25.553,0.037,3.332205,-0.619039,0,0,0,0
4.415,0.032,3.258097,-0.673729,11.421,0.011,4.89784,-0.171064,13.643,0.019,5.023881,-0.152269,18.354,0.012,4.836282,-0.180998,22.133,0.038,3.295837,-0.655407,0,0,0,0
6.868,0.032,3.218876,-0.71295,11.45,0.011,4.890349,-0.178555,13.859,0.019,5.01728,-0.15887,21.248,0.012,4.828314,-0.188966,26.947,0.038,3.258097,-0.693147,0,0,0,0
