Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
3.266,0.058,1.94591,0,7.885,0.011,3.931826,0,9.885,0.011,4.867534,0,16.749,0.009,4.330733,0,21.751,0.012,2.564949,0,25.32,0.035,0.693147,0
4.214,0.083,1.791759,-0.154151,9.087,0.019,3.912023,-0.019803,15.305,0.011,4.859812,-0.007722,15.772,0.01,4.317488,-0.013245,21.886,0.014,2.484907,-0.080043,27.957,0.103,0,-0.693147
2.354,0.085,1.609438,-0.336472,7.415,0.022,3.89182,-0.040005,11.796,0.012,4.85203,-0.015504,17.444,0.012,4.304065,-0.026668,22.343,0.035,2.397895,-0.167054,0,0,0,0
3.402,0.111,1.386294,-0.559616,8.986,0.022,3.871201,-0.060625,10.206,0.013,4.844187,-0.023347,18.7,0.013,4.290459,-0.040274,23.186,0.036,2.302585,-0.262364,0,0,0,0
3.912,0.218,1.098612,-0.847298,8.891,0.023,3.850148,-0.081678,13.516,0.013,4.836282,-0.031253,18.024,0.014,4.276666,-0.054067,24.005,0.042,2.197225,-0.367725,0,0,0,0
4.34,0.548,0.693147,-1.252763,8.951,0.023,3.828641,-0.103184,15.192,0.013,4.828314,-0.039221,18.268,0.014,4.26268,-0.068053,23.325,0.043,2.079442,-0.485508,0,0,0,0
3.75,0.793,0,-1.94591,8.859,0.026,3.806662,-0.125163,15.273,0.013,4.820282,-0.047253,15.601,0.016,4.248495,-0.082238,22.67,0.046,1.94591,-0.619039,0,0,0,0
0,0,0,0,6.753,0.027,3.78419,-0.147636,13.023,0.014,4.812184,-0.05535,15.609,0.017,4.234107,-0.096627,24.122,0.049,1.791759,-0.77319,0,0,0,0
0,0,0,0,8.344,0.029,3.7612,-0.170626,12.932,0.016,4.804021,-0.063513,18.829,0.017,4.219508,-0.111226,22.836,0.116,1.609438,-0.955511,0,0,0,0
0,0,0,0,5.987,0.035,3.73767,-0.194156,9.855,0.017,4.795791,-0.071744,19.017,0.017,4.204693,-0.126041,23.245,0.163,1.386294,-1.178655,0,0,0,0
