Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp	Force	Lifetime	Lnp
2.319	0.022	3.912023	0	6.328	0.012	4.26268	0	10.604	0.009	4.488636	0	14.364	0.009	3.663562	0	17.088	0.016	3.367296	0	22.951	0.032	1.609438	0			
5.732	0.022	3.89182	-0.020203	8.199	0.012	4.248495	-0.014185	11.951	0.01	4.477337	-0.0113	16.62	0.011	3.637586	-0.025975	17.088	0.016	3.332205	-0.035091	22.996	0.05	1.386294	-0.223144			
4.483	0.028	3.871201	-0.040822	9.3	0.017	4.234107	-0.028573	12.517	0.01	4.465908	-0.022728	14.399	0.013	3.610918	-0.052644	21.246	0.016	3.295837	-0.071459	22.724	0.064	1.098612	-0.510826			
5.963	0.029	3.850148	-0.061875	9.701	0.017	4.219508	-0.043172	10.851	0.011	4.454347	-0.034289	15.658	0.017	3.583519	-0.080043	21.737	0.016	3.258097	-0.109199	26.876	0.068	0.693147	-0.916291			
3.817	0.031	3.828641	-0.083382	9.062	0.019	4.204693	-0.057987	10.09	0.012	4.442651	-0.045985	14.107	0.021	3.555348	-0.108214	17.489	0.019	3.218876	-0.14842	25.803	0.303	0	-1.609438			
5.546	0.032	3.806662	-0.105361	9.274	0.02	4.189655	-0.073025	11.582	0.012	4.430817	-0.05782	14.794	0.021	3.526361	-0.137201	22.052	0.019	3.178054	-0.189242	0	0	0	0			
4.878	0.033	3.78419	-0.127833	9.791	0.02	4.174387	-0.088293	10.465	0.013	4.418841	-0.069796	15.315	0.023	3.496508	-0.167054	18.441	0.024	3.135494	-0.231802	0	0	0	0			
4.854	0.036	3.7612	-0.150823	6.601	0.021	4.158883	-0.103797	11.97	0.013	4.406719	-0.081917	14.967	0.024	3.465736	-0.197826	19.05	0.024	3.091042	-0.276253	0	0	0	0			
1.382	0.038	3.73767	-0.174353	7.425	0.021	4.143135	-0.119545	12.534	0.013	4.394449	-0.094187	16.251	0.025	3.433987	-0.229574	22.428	0.024	3.044522	-0.322773	0	0	0	0			
4.602	0.05	3.713572	-0.198451	9.457	0.021	4.127134	-0.135545	11.02	0.014	4.382027	-0.10661	14.11	0.03	3.401197	-0.262364	20.953	0.025	2.995732	-0.371564	0	0	0	0			
5.904	0.051	3.688879	-0.223144	6.541	0.024	4.110874	-0.151806	11.531	0.014	4.369448	-0.119189	14.289	0.031	3.367296	-0.296266	21.312	0.027	2.944439	-0.422857	0	0	0	0			
2.897	0.059	3.663562	-0.248461	8.501	0.025	4.094345	-0.168335	12.025	0.014	4.356709	-0.131928	14.144	0.034	3.332205	-0.331357	17.315	0.028	2.890372	-0.476924	0	0	0	0			
1.931	0.07	3.637586	-0.274437	8.654	0.026	4.077537	-0.185142	12.757	0.016	4.343805	-0.144831	15.285	0.034	3.295837	-0.367725	18.264	0.028	2.833213	-0.534082	0	0	0	0			
4.233	0.078	3.610918	-0.301105	8.662	0.026	4.060443	-0.202237	10.985	0.017	4.330733	-0.157903	13.948	0.037	3.258097	-0.405465	17.329	0.029	2.772589	-0.594707	0	0	0	0			
5.077	0.093	3.583519	-0.328504	9.718	0.026	4.043051	-0.219629	13.212	0.017	4.317488	-0.171148	14.595	0.037	3.218876	-0.444686	18.524	0.046	2.70805	-0.659246	0	0	0	0			
1.868	0.106	3.555348	-0.356675	7.133	0.03	4.025352	-0.237328	12.409	0.018	4.304065	-0.184571	14.168	0.04	3.178054	-0.485508	17.376	0.049	2.639057	-0.728239	0	0	0	0			
4.869	0.106	3.526361	-0.385662	8.965	0.031	4.007333	-0.255347	13.092	0.018	4.290459	-0.198177	15.231	0.041	3.135494	-0.528067	20.231	0.077	2.564949	-0.802346	0	0	0	0			
1.685	0.114	3.496508	-0.415515	7.204	0.032	3.988984	-0.273696	13.529	0.019	4.276666	-0.21197	14.158	0.042	3.091042	-0.572519	19.784	0.078	2.484907	-0.882389	0	0	0	0			
2.621	0.117	3.465736	-0.446287	7.234	0.032	3.970292	-0.292388	10.18	0.02	4.26268	-0.225956	14.551	0.043	3.044522	-0.619039	20.254	0.078	2.397895	-0.969401	0	0	0	0			
5.447	0.122	3.433987	-0.478036	7.519	0.032	3.951244	-0.311436	10.22	0.02	4.248495	-0.240141	15.309	0.044	2.995732	-0.667829	20.181	0.092	2.302585	-1.064711	0	0	0	0			
4.551	0.126	3.401197	-0.510826	7.073	0.034	3.931826	-0.330854	10.981	0.02	4.234107	-0.25453	15.152	0.054	2.944439	-0.719123	19.943	0.131	2.197225	-1.170071	0	0	0	0			
4.616	0.142	3.367296	-0.544727	8.634	0.034	3.912023	-0.350657	12.547	0.02	4.219508	-0.269129	14.956	0.076	2.890372	-0.77319	16.927	0.15	2.079442	-1.287854	0	0	0	0			
4.634	0.145	3.332205	-0.579818	8.454	0.035	3.89182	-0.37086	13.462	0.02	4.204693	-0.283944	14.914	0.083	2.833213	-0.830348	20.619	0.184	1.94591	-1.421386	0	0	0	0			
5.887	0.145	3.295837	-0.616186	9.316	0.04	3.871201	-0.391479	9.917	0.021	4.189655	-0.298982	15.409	0.092	2.772589	-0.890973	16.952	0.276	1.791759	-1.575536	0	0	0	0			
5.387	0.146	3.258097	-0.653926	7.64	0.041	3.850148	-0.412532	13.714	0.021	4.174387	-0.314249	14.768	0.1	2.70805	-0.955511	18.607	0.293	1.609438	-1.757858	0	0	0	0			
1.045	0.193	3.218876	-0.693147	7.009	0.042	3.828641	-0.434038	11.648	0.024	4.158883	-0.329753	15.099	0.1	2.639057	-1.024504	17.541	0.307	1.386294	-1.981001	0	0	0	0			
4.457	0.206	3.178054	-0.733969	8.206	0.042	3.806662	-0.456017	11.801	0.024	4.143135	-0.345502	15.164	0.101	2.564949	-1.098612	21.223	0.342	1.098612	-2.268684	0	0	0	0			
4.537	0.222	3.135494	-0.776529	6.674	0.044	3.78419	-0.47849	12.248	0.024	4.127134	-0.361502	14.97	0.104	2.484907	-1.178655	18.637	0.368	0.693147	-2.674149	0	0	0	0			
5.711	0.238	3.091042	-0.820981	9.58	0.044	3.7612	-0.50148	13.661	0.024	4.110874	-0.377763	15.01	0.104	2.397895	-1.265666	19.329	0.661	0	-3.367296	0	0	0	0			
5.748	0.245	3.044522	-0.867501	9.655	0.044	3.73767	-0.52501	13.813	0.024	4.094345	-0.394292	14.655	0.163	2.302585	-1.360977	0	0	0	0	0	0	0	0			
4.688	0.246	2.995732	-0.916291	8.204	0.053	3.713572	-0.549108	11.898	0.025	4.077537	-0.411099	14.06	0.183	2.197225	-1.466337	0	0	0	0	0	0	0	0			
0.133	0.247	2.944439	-0.967584	8.68	0.054	3.688879	-0.5738	9.827	0.026	4.060443	-0.428193	16.718	0.223	2.079442	-1.58412	0	0	0	0	0	0	0	0			
5.649	0.248	2.890372	-1.021651	6.057	0.057	3.663562	-0.599118	12.818	0.026	4.043051	-0.445585	16.593	0.226	1.94591	-1.717651	0	0	0	0	0	0	0	0			
2.615	0.264	2.833213	-1.07881	8.301	0.057	3.637586	-0.625094	11.72	0.027	4.025352	-0.463285	14.558	0.268	1.791759	-1.871802	0	0	0	0	0	0	0	0			
5.532	0.308	2.772589	-1.139434	6.809	0.064	3.610918	-0.651762	12.854	0.027	4.007333	-0.481303	16.764	0.268	1.609438	-2.054124	0	0	0	0	0	0	0	0			
5.484	0.309	2.70805	-1.203973	7.669	0.067	3.583519	-0.679161	10.685	0.028	3.988984	-0.499652	15.414	0.347	1.386294	-2.277267	0	0	0	0	0	0	0	0			
2.863	0.322	2.639057	-1.272966	7.296	0.081	3.555348	-0.707332	13.576	0.03	3.970292	-0.518344	16.814	0.394	1.098612	-2.564949	0	0	0	0	0	0	0	0			
0.869	0.345	2.564949	-1.347074	7.494	0.081	3.526361	-0.736319	11.6	0.032	3.951244	-0.537393	14.398	0.456	0.693147	-2.970414	0	0	0	0	0	0	0	0			
0.638	0.372	2.484907	-1.427116	6.654	0.092	3.496508	-0.766172	10.993	0.035	3.931826	-0.556811	14.512	0.625	0	-3.663562	0	0	0	0	0	0	0	0			
0.889	0.397	2.397895	-1.514128	9.21	0.094	3.465736	-0.796944	13.102	0.035	3.912023	-0.576613	0	0	0	0	0	0	0	0	0	0	0	0			
5.61	0.465	2.302585	-1.609438	8.911	0.118	3.433987	-0.828693	12.076	0.038	3.89182	-0.596816	0	0	0	0	0	0	0	0	0	0	0	0			
5.994	0.489	2.197225	-1.714798	6.667	0.129	3.401197	-0.861482	13.497	0.039	3.871201	-0.617435	0	0	0	0	0	0	0	0	0	0	0	0			
0.344	0.512	2.079442	-1.832581	8.585	0.131	3.367296	-0.895384	10.724	0.041	3.850148	-0.638489	0	0	0	0	0	0	0	0	0	0	0	0			
4.196	0.552	1.94591	-1.966113	7.394	0.148	3.332205	-0.930475	13.829	0.042	3.828641	-0.659995	0	0	0	0	0	0	0	0	0	0	0	0			
4.874	0.711	1.791759	-2.120264	9.721	0.17	3.295837	-0.966843	10.401	0.044	3.806662	-0.681974	0	0	0	0	0	0	0	0	0	0	0	0			
5.861	0.824	1.609438	-2.302585	8.418	0.193	3.258097	-1.004583	13.316	0.048	3.78419	-0.704447	0	0	0	0	0	0	0	0	0	0	0	0			
3.002	1.252	1.386294	-2.525729	9.588	0.196	3.218876	-1.043804	11.868	0.049	3.7612	-0.727436	0	0	0	0	0	0	0	0	0	0	0	0			
5.168	1.262	1.098612	-2.813411	8.836	0.231	3.178054	-1.084626	10.595	0.054	3.73767	-0.750967	0	0	0	0	0	0	0	0	0	0	0	0			
3.792	1.317	0.693147	-3.218876	9.109	0.246	3.135494	-1.127186	12.525	0.055	3.713572	-0.775064	0	0	0	0	0	0	0	0	0	0	0	0			
5.921	1.552	0	-3.912023	8.318	0.255	3.091042	-1.171637	10.881	0.057	3.688879	-0.799757	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	6.182	0.256	3.044522	-1.218157	12.889	0.065	3.663562	-0.825075	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	6.292	0.269	2.995732	-1.266948	9.81	0.066	3.637586	-0.85105	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	6.447	0.304	2.944439	-1.318241	13.545	0.07	3.610918	-0.877718	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	6.536	0.312	2.890372	-1.372308	12.891	0.072	3.583519	-0.905117	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.118	0.342	2.833213	-1.429467	11.912	0.074	3.555348	-0.933288	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.091	0.346	2.772589	-1.490091	10.99	0.077	3.526361	-0.962276	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	9.75	0.381	2.70805	-1.55463	11.027	0.081	3.496508	-0.992129	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	9.387	0.426	2.639057	-1.623623	11.745	0.081	3.465736	-1.0229	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	9.317	0.469	2.564949	-1.697731	13.503	0.082	3.433987	-1.054649	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.778	0.512	2.484907	-1.777773	12.492	0.092	3.401197	-1.087439	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	9.465	0.512	2.397895	-1.864785	13.512	0.095	3.367296	-1.121341	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	9.294	0.532	2.302585	-1.960095	13.876	0.108	3.332205	-1.156432	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.961	0.619	2.197225	-2.065455	10.505	0.11	3.295837	-1.1928	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.277	0.649	2.079442	-2.183238	10.592	0.119	3.258097	-1.23054	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.944	0.739	1.94591	-2.31677	11.957	0.123	3.218876	-1.269761	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.98	0.765	1.791759	-2.47092	13.636	0.14	3.178054	-1.310583	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.606	0.795	1.609438	-2.653242	11.889	0.142	3.135494	-1.353142	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.948	0.942	1.386294	-2.876386	11.701	0.146	3.091042	-1.397594	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	8.307	0.968	1.098612	-3.164068	13.606	0.148	3.044522	-1.444114	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	7.683	1.403	0.693147	-3.569533	12.203	0.157	2.995732	-1.492904	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	6.164	1.477	0	-4.26268	11.471	0.167	2.944439	-1.544197	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.867	0.189	2.890372	-1.598265	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	11.959	0.191	2.833213	-1.655423	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	10.513	0.197	2.772589	-1.716048	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.671	0.198	2.70805	-1.780586	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.456	0.2	2.639057	-1.849579	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	13.104	0.203	2.564949	-1.923687	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.263	0.216	2.484907	-2.00373	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	13.38	0.225	2.397895	-2.090741	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.425	0.266	2.302585	-2.186051	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	11.726	0.399	2.197225	-2.291412	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	11.896	0.48	2.079442	-2.409195	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	13.849	0.496	1.94591	-2.542726	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	10.049	0.518	1.791759	-2.696877	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.825	0.621	1.609438	-2.879198	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	12.935	0.795	1.386294	-3.102342	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	11.57	0.979	1.098612	-3.390024	0	0	0	0	0	0	0	0	0	0	0	0			
